"","Strain","env","Mean_GR","Std_err"
"1","LK1-A02","30SC3",0.0804079675384638,0.00432213358469658
"2","LK1-A02","30SC5",0.144459147770692,0.00335132499916727
"3","LK1-A02","30SC7",0.185503355170158,0.00088270127527293
"4","LK1-A02","37SC3",0.312485818108979,0.000523472812448539
"5","LK1-A02","37SC5",0.347755225855488,0.000988332188321259
"6","LK1-A02","37SC7",0.205298587080242,0.0021759518521991
"7","LK1-B03","30SC3",0.143233024339903,0.00190025250341806
"8","LK1-B03","30SC5",0.241280401746094,0.0013884075761847
"9","LK1-B03","30SC7",0.215324625640792,0.00114430250410063
"10","LK1-B03","37SC3",0.225407382557117,0.00257491948015113
"11","LK1-B03","37SC5",0.291334246589633,0.00431884226932897
"12","LK1-B03","37SC7",0.233751627582161,0.0045608037565225
"13","LK1-B05","30SC3",0.108055754359051,0.00499461133793273
"14","LK1-B05","30SC5",0.247421273890927,0.00211891101745747
"15","LK1-B05","30SC7",0.204286983175436,0.00109277692524579
"16","LK1-B05","37SC3",0.263142761073269,0.00205974503382806
"17","LK1-B05","37SC5",0.288586812086973,0.00258573057940364
"18","LK1-B05","37SC7",0.17131869746201,0.00163687594547623
"19","LK1-C09","30SC3",0.149131572365418,0.00432219045070157
"20","LK1-C09","30SC5",0.199573979566422,0.0018942577191699
"21","LK1-C09","30SC7",0.128042057001673,0.00153736094562855
"22","LK1-C09","37SC3",0.320110115148008,0.00079004385962743
"23","LK1-C09","37SC5",0.384655393778654,0.00102508509337106
"24","LK1-C09","37SC7",0.067495711934524,0.00210728417742674
"25","LK1-F05","30SC3",0.205679979973983,0.00103120413857198
"26","LK1-F05","30SC5",0.316823015231183,0.000817517948768708
"27","LK1-F05","30SC7",0.261909949161415,0.00061334876609624
"28","LK1-F05","37SC3",0.327514307843123,0.000612112442095465
"29","LK1-F05","37SC5",0.352151799406441,0.000682842206639675
"30","LK1-F05","37SC7",0.14070468561361,0.0024476220157548
"31","LK1-G03","30SC3",0.0588017972365458,0.00186808580305337
"32","LK1-G03","30SC5",0.166868438426661,0.00195080135542574
"33","LK1-G03","30SC7",0.194819723585964,0.000735820008258504
"34","LK1-G03","37SC3",0.34162798903803,0.000545426329746945
"35","LK1-G03","37SC5",0.334851155677656,0.00123108768374415
"36","LK1-G03","37SC7",0.164973247902777,0.00215468160747203
"37","LK1-H02","30SC3",0.0778975455474109,0.00264842664136495
"38","LK1-H02","30SC5",0.183182888468139,0.00191131489892635
"39","LK1-H02","30SC7",0.178968885349014,0.000953120949257567
"40","LK1-H02","37SC3",0.316080536025108,0.000536643883200521
"41","LK1-H02","37SC5",0.365476657778772,0.000906018229432052
"42","LK1-H02","37SC7",0.190361922498359,0.0037762262935706
"43","LK2-A06","30SC3",0.122216166417183,0.00192283977817394
"44","LK2-A06","30SC5",0.156796052470053,0.0020996522845546
"45","LK2-A06","30SC7",0.177346116863922,0.00159048114894292
"46","LK2-A06","37SC3",0.177720283818139,0.00430115382666449
"47","LK2-A06","37SC5",0.259205788354213,0.00418042800955284
"48","LK2-A06","37SC7",0.215407582960732,0.00188551108932474
"49","LK2-A10","30SC3",0.143325788591136,0.00200692244271041
"50","LK2-A10","30SC5",0.271887865195579,0.00159522860483121
"51","LK2-A10","30SC7",0.229201874697166,0.000935656677705042
"52","LK2-A10","37SC3",0.202177313360835,0.0018151390389592
"53","LK2-A10","37SC5",0.274115015719775,0.0017047244834148
"54","LK2-A10","37SC7",0.257584181298914,0.00192655534198737
"55","LK2-A12","30SC3",0.121669466709233,0.00123369228905591
"56","LK2-A12","30SC5",0.342407586945899,0.000818941379395677
"57","LK2-A12","30SC7",0.251988661834705,0.000584326837491676
"58","LK2-A12","37SC3",0.259889442935314,0.00216201985052887
"59","LK2-A12","37SC5",0.275839207600501,0.00406836294872331
"60","LK2-A12","37SC7",0.183941991071263,0.00143691951304808
"61","LK2-B07","30SC3",0.1538593580419,0.00110670527581497
"62","LK2-B07","30SC5",0.377108563373745,0.000583297185007775
"63","LK2-B07","30SC7",0.306884879619589,0.000455414777314459
"64","LK2-B07","37SC3",0.328164402680292,0.000867212832749444
"65","LK2-B07","37SC5",0.337205004346639,0.000710689601839224
"66","LK2-B07","37SC7",0.285124833336924,0.000677734068970456
"67","LK2-D05","30SC3",0.159429005904603,0.00127317015345629
"68","LK2-D05","30SC5",0.301219840416254,0.00119923715056533
"69","LK2-D05","30SC7",0.248682335797287,0.000752270511203341
"70","LK2-D05","37SC3",0.280604848422005,0.000915718928946364
"71","LK2-D05","37SC5",0.322986536050894,0.00118005604760574
"72","LK2-D05","37SC7",0.283823800890735,0.00117898429321456
"73","LK2-D07","30SC3",0.233733948226178,0.00195238979194367
"74","LK2-D07","30SC5",0.369098145360118,0.00156680940558782
"75","LK2-D07","30SC7",0.295858065271363,0.00126544104786714
"76","LK2-D07","37SC3",0.29552067064,0.0020263449621281
"77","LK2-D07","37SC5",0.316262910277403,0.00227645205175158
"78","LK2-D07","37SC7",0.254783152385223,0.00211943351327985
"79","LK2-E08","30SC3",0.0827850638742462,0.0037605858471303
"80","LK2-E08","30SC5",0.239407984922885,0.00148211101679611
"81","LK2-E08","30SC7",0.244048299647559,0.000677509925619009
